init_photon_loss,num_repeaters,fidelity,sem,rate,success_fraction
0.1,1,0.8271868281090868,0.0010110871285484262,58.429043155622985,0.9818888888888889
0.1,4,0.6461438417074257,0.0006300942546676239,76.43589143692526,0.9995555555555555
0.1,8,0.4906544444444445,0.0003776529427792,79.86275665490844,1.0
0.2,1,0.8236498237367801,0.0012121110875462314,50.408786119988285,0.9455555555555556
0.2,4,0.6412373315513977,0.000894486681537283,70.47198453156533,0.9976666666666667
0.2,8,0.48647313980647316,0.0005563274325525872,73.63229280101238,0.999
0.3,1,0.8172958602354728,0.001630789930645732,41.70346391694208,0.8776666666666667
0.3,4,0.6313928207451026,0.0012382938227872876,61.91796624062005,0.9812222222222222
0.3,8,0.4794716726618705,0.000820787341031312,65.67905415483487,0.9884444444444445
0.4,1,0.8118620689655173,0.0019351603882565966,31.84886782888394,0.7572222222222222
0.4,4,0.6185474452554746,0.001799078732225355,50.50561138208008,0.9133333333333333
0.4,8,0.4677477902180318,0.001233205697482224,54.8638734786922,0.9427777777777778
0.5,1,0.8048856466876971,0.0025963479142616414,21.302429667387965,0.5635555555555556
0.5,4,0.6047786005742783,0.002468439666407388,35.835984042894545,0.7352222222222222
0.5,8,0.4553641207815275,0.0017763344370004535,38.472701549937945,0.7506666666666667
0.6,1,0.7988304093567251,0.0037969175076586655,12.16655695746919,0.342
0.6,4,0.5903382603752133,0.003945298589182737,17.68668972184016,0.3908888888888889
0.6,8,0.445631256054246,0.00292184573309483,16.77065367532499,0.3441111111111111
0.7,1,0.7972964899178491,0.005653168395958229,5.174363679687636,0.1487777777777778
0.7,4,0.5766919739696312,0.008807016349121084,4.736736843693679,0.10244444444444445
0.7,8,0.43370558375634516,0.00940993160066204,2.2866784745078066,0.04377777777777778
