collection_efficiency,num_repeaters,fidelity,sem,rate,success_fraction
0.6,1,0.7949301825993554,0.006870338772889858,3.6085963136568533,0.10344444444444445
0.6,4,0.5800536193029491,0.012864030448912017,1.969971245841604,0.041444444444444443
0.6,8,0.4338532110091743,0.01670075151065717,0.6531333299855496,0.01211111111111111
0.7,1,0.792626404494382,0.00608137083060019,5.480875213018806,0.1582222222222222
0.7,4,0.5788427299703265,0.008181721145459887,5.179686061130975,0.11233333333333333
0.7,8,0.4339065817409767,0.008444934467556219,2.7175846122739897,0.052333333333333336
0.8,1,0.797883082373782,0.004641132118972762,8.775767935666979,0.2508888888888889
0.8,4,0.5859455445544555,0.005360446052223112,10.153961227820089,0.22444444444444445
0.8,8,0.4372330827067669,0.005001263936590655,7.409495287517347,0.14777777777777779
0.9,1,0.8013910942354159,0.003563947850060488,11.363480763123087,0.3218888888888889
0.9,4,0.5891775534441805,0.004091813173334516,16.876127468744325,0.37422222222222223
0.9,8,0.4429455709711846,0.00326106041852268,15.24205611622481,0.31233333333333335
