,num_repeaters,distance,emission_fidelity,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.96,0.8048458149779735,0.005054194796101363,5.280388237404843,37.60176991150443,227
1,1,50,0.97,0.8322270742358078,0.0047894427299375085,5.330342786023192,38.52838427947598,229
2,1,50,0.98,0.8722707423580788,0.00506682965538086,5.274552264146325,39.66812227074236,229
3,1,50,0.99,0.9043859649122806,0.005481855699895708,5.295613975661817,38.98245614035088,228
4,1,50,1.0,0.9321940928270043,0.0065895023479965445,5.4939139791519915,42.29113924050633,237
5,4,50,0.96,0.5715753424657535,0.009794712658678163,4.546760960675774,35.901408450704224,146
6,4,50,0.97,0.6264516129032258,0.010276463321403029,4.810988259939338,37.24503311258278,155
7,4,50,0.98,0.6871518987341771,0.011593041252507203,4.881628880297307,36.357142857142854,158
8,4,50,0.99,0.743125,0.013107225217833043,4.938868041849718,36.94230769230769,160
9,4,50,1.0,0.8204964539007092,0.015180106966901403,4.371606080559908,38.55072463768116,141
10,8,50,0.96,0.4348192771084337,0.008244074642555877,2.880459682496146,36.55421686746988,83
11,8,50,0.97,0.4986764705882352,0.011144242167573587,2.3837142074671895,35.507462686567166,68
12,8,50,0.98,0.5378125,0.015078572827812225,2.229483034324986,34.36507936507937,64
13,8,50,0.99,0.6447540983606556,0.019639657290467922,2.12332759899179,35.67796610169491,61
14,8,50,1.0,0.717283950617284,0.025645140395811276,2.8104620653213774,35.06666666666667,81
