,num_repeaters,distance,coherence_time,fidelity,sem,rate,mean_retries,num_success
0,1,50,60000000,0.7935714285714285,0.007004334388189825,4.886002451918191,39.83253588516747,210
1,1,50,100000000,0.8275813953488371,0.002043243999643514,4.989568017154467,40.26046511627907,215
2,1,50,150000000,0.8337450199203187,0.0012238849817067584,5.851863559464684,39.342629482071715,251
3,1,50,200000000,0.8355744680851063,0.0007400416099298007,5.461628600533996,41.251063829787235,235
4,1,50,250000000,0.838923076923077,0.0002453822503364313,6.041427608513816,40.38461538461539,260
5,4,50,60000000,0.5914444444444444,0.007219661029375494,5.5742921881846055,37.01123595505618,180
6,4,50,100000000,0.6222093023255815,0.004146195872664657,5.328309398446187,38.51744186046512,172
7,4,50,150000000,0.641042944785276,0.001565147006979555,5.030371096956671,37.809815950920246,163
8,4,50,200000000,0.65062893081761,0.0009171582780067643,4.883131574390951,37.42138364779874,159
9,4,50,250000000,0.6522068965517241,0.0010474344173178622,4.4940051946515975,36.779310344827586,145
10,8,50,60000000,0.42782608695652175,0.00923153573275212,2.400855036105078,37.455882352941174,69
11,8,50,100000000,0.4754838709677419,0.00382046966500316,2.157746148533907,34.91935483870968,62
12,8,50,150000000,0.48779999999999996,0.0024623348246684534,1.7479363438677102,37.72,50
13,8,50,200000000,0.49055555555555547,0.001308311490521725,2.508133981556095,36.31944444444444,72
14,8,50,250000000,0.49603174603174605,0.0006166608963860635,2.203475124519024,34.34920634920635,63
