,num_repeaters,distance,coherence_time,fidelity,sem,rate,mean_retries,num_success
0,1,50,60000000,0.7991769547325104,0.0051037865431099025,5.619837668502818,40.69547325102881,243
1,1,50,100000000,0.8249327354260091,0.0021094517750650265,5.165282571198464,40.511210762331835,223
2,1,50,150000000,0.8328744939271255,0.0012204760415159249,5.709859928871684,41.07692307692308,247
3,1,50,200000000,0.8367826086956521,0.0005625194686999735,5.31282159173198,40.72608695652174,230
4,1,50,250000000,0.8377542372881355,0.0004186807234115888,5.444060950206982,40.92372881355932,236
5,4,50,60000000,0.5918831168831169,0.007677894463672148,4.745636941517105,34.65359477124183,154
6,4,50,100000000,0.626078431372549,0.003656819188704539,4.742722751099096,37.58169934640523,153
7,4,50,150000000,0.6359863945578231,0.003201266621953509,4.541847996536395,40.29931972789116,147
8,4,50,200000000,0.6499999999999999,0.001564057055417527,4.84005557701032,36.58227848101266,158
9,4,50,250000000,0.6534931506849316,0.0007194634210649245,4.511103134114395,37.726027397260275,146
10,8,50,60000000,0.42565217391304344,0.0096125895166868,2.397853191611896,35.61764705882353,69
11,8,50,100000000,0.46888888888888897,0.004952538526698761,2.497365298879359,36.388888888888886,72
12,8,50,150000000,0.4882352941176471,0.0020026646308038626,2.366810737439607,35.05882352941177,68
13,8,50,200000000,0.4910294117647059,0.0011025929667988824,2.3666738881478793,37.220588235294116,68
14,8,50,250000000,0.4937931034482759,0.0008557888220429918,2.0250063456018186,38.01724137931034,58
