ms_depolar_prob,num_repeaters,fidelity,sem,rate,success_fraction
0.05,1,0.7624185068349106,0.005814540257636135,5.5026640084526575,0.1585
0.05,4,0.5089210950080516,0.007555806445267231,4.796464726186366,0.1035
0.05,8,0.36420875420875415,0.007043650401355338,2.580055626592635,0.0495
0.06,1,0.7583526927138332,0.005132358605983655,5.469571881582035,0.15783333333333333
0.06,4,0.4937137989778536,0.007439223839567876,4.549011993279741,0.09783333333333333
0.06,8,0.35219931271477656,0.006318733968165276,2.5160106413070404,0.0485
0.07,1,0.7493783494105036,0.005854941583178441,5.407329845419844,0.1555
0.07,4,0.4858553791887126,0.006371559578236592,4.400994397278261,0.0945
0.07,8,0.3435433070866142,0.005859934970924971,2.216566652709872,0.042333333333333334
0.08,1,0.743470715835141,0.005672388994228572,5.339623814632239,0.15366666666666667
0.08,4,0.47001615508885297,0.006186176129833352,4.785733870683948,0.10316666666666667
0.08,8,0.3330656934306569,0.005297027044816351,2.389360628993468,0.04566666666666667
0.09,1,0.7341017316017316,0.005430369419291293,5.33204107812032,0.154
0.09,4,0.4605583756345177,0.005921491718401183,4.573882561378619,0.0985
0.09,8,0.32892703862660944,0.004328505181217123,2.027982212698843,0.03883333333333333
0.1,1,0.7269767441860463,0.005534770227446608,5.487178302334149,0.15766666666666668
0.1,4,0.44735880398671096,0.00584217921502927,4.653918513954384,0.10033333333333333
0.1,8,0.3182641509433962,0.004141413880826859,2.310605788285171,0.04416666666666667
