,num_repeaters,distance,emission_fidelity,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.96,0.798663967611336,0.005678272297892693,5.718119185704064,39.829268292682926,247
1,1,50,0.97,0.8301327433628319,0.006012622755501045,5.225415901559668,41.50222222222222,226
2,1,50,0.98,0.8626222222222224,0.005931072386529316,5.1760956481052895,41.733333333333334,225
3,1,50,0.99,0.8934177215189871,0.005974735094994765,5.453803558396849,41.164556962025316,237
4,1,50,1.0,0.9174654377880185,0.007965286630292596,5.013980079769079,42.56018518518518,217
5,4,50,0.96,0.5900000000000001,0.007257933418387203,4.753810550547715,37.98684210526316,152
6,4,50,0.97,0.613076923076923,0.010839131778105145,4.026435406800446,38.6484375,130
7,4,50,0.98,0.6838562091503267,0.010704025870907146,4.70008056337439,38.00662251655629,153
8,4,50,0.99,0.7536986301369863,0.012357356453122385,4.472316917321395,37.708333333333336,146
9,4,50,1.0,0.8213245033112584,0.014892937826522961,4.661768799344852,38.4527027027027,151
10,8,50,0.96,0.431,0.009623882427043418,2.092418692794273,35.20338983050848,60
11,8,50,0.97,0.4969811320754718,0.011372543517877785,1.8464469997637671,36.264150943396224,53
12,8,50,0.98,0.5478378378378377,0.017390103928664833,2.579530563200574,36.2,74
13,8,50,0.99,0.6417647058823531,0.018725330150970613,2.368153695960696,34.93939393939394,68
14,8,50,1.0,0.7273563218390804,0.023287415242305855,3.02376490957681,35.464285714285715,87
