,num_repeaters,distance,ms_depolar_prob,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.1,0.7326694915254236,0.005611509596618796,5.5261356963284785,39.646808510638294,236
1,1,50,0.09,0.7327314814814815,0.005599269978242591,4.958704707817501,41.907407407407405,216
2,1,50,0.08,0.7476339285714284,0.00510133944320126,5.186080234206178,39.91517857142857,224
3,1,50,0.07,0.7451229508196722,0.006211182238396466,5.641129512264936,39.522633744855966,244
4,1,50,0.06,0.7566403162055336,0.0055829035639458815,5.86180889218859,41.541501976284586,253
5,1,50,0.05,0.7621698113207548,0.0065548517556784855,4.8924860328322275,39.85781990521327,212
6,4,50,0.1,0.4488028169014085,0.005694836328634487,4.394745818308439,36.714285714285715,142
7,4,50,0.09,0.46312499999999995,0.005655696341734616,4.964556556887646,37.822784810126585,160
8,4,50,0.08,0.4741558441558442,0.005837763632205717,4.766956534511128,37.02614379084967,154
9,4,50,0.07,0.49643939393939396,0.005431519209538862,4.1118138306512,35.20454545454545,132
10,4,50,0.06,0.4918796992481203,0.008372825432203235,4.140824812918197,36.738461538461536,133
11,4,50,0.05,0.5174399999999999,0.008037963913782066,3.863807373994457,36.51639344262295,125
12,8,50,0.1,0.31018181818181817,0.0053903147365653315,1.9263413344801383,35.90909090909091,55
13,8,50,0.09,0.33754716981132077,0.0031505716914257014,1.8521909312187093,35.9811320754717,53
14,8,50,0.08,0.32457142857142857,0.005831648947629322,2.455260080312487,37.529411764705884,70
15,8,50,0.07,0.3431372549019608,0.006628401781074958,1.773433092512008,34.78,51
16,8,50,0.06,0.3439473684210526,0.006205275000313429,2.635392418600186,34.42666666666667,76
17,8,50,0.05,0.3606024096385543,0.0064784770215540475,2.896119839314496,34.80487804878049,83
