,num_repeaters,distance,coherence_time,fidelity,sem,rate,mean_retries,num_success
0,1,50,60000000,0.7951428571428572,0.006056583860119591,5.735979237932494,39.84897959183674,245
1,1,50,100000000,0.8243153526970953,0.0019105072038743465,5.599325162825938,40.55601659751037,241
2,1,50,150000000,0.8326938775510204,0.0011060900228092045,5.632921691295087,43.31836734693878,245
3,1,50,200000000,0.8355603448275862,0.0007140232899567082,5.362297335533112,43.797413793103445,232
4,1,50,250000000,0.8384259259259259,0.0003844405341577838,4.992449829714566,42.958333333333336,216
5,4,50,60000000,0.5775342465753425,0.008872468533822347,4.510644921197647,39.06944444444444,146
6,4,50,100000000,0.6200571428571428,0.004440635109628542,5.39691857382911,37.205714285714286,175
7,4,50,150000000,0.6384848484848485,0.00303540570824796,4.086064213334902,37.265151515151516,132
8,4,50,200000000,0.6486330935251798,0.0013385245011555166,4.309144673068678,37.1294964028777,139
9,4,50,250000000,0.6528666666666666,0.0007000172839943978,4.636269619137942,37.946666666666665,150
10,8,50,60000000,0.4389855072463768,0.010020267156189156,2.3962656896471253,36.303030303030305,69
11,8,50,100000000,0.46684210526315784,0.004939883547775339,1.9939147606587826,35.473684210526315,57
12,8,50,150000000,0.4872972972972973,0.0020277373867438305,2.5859294428507966,35.851351351351354,74
13,8,50,200000000,0.49033333333333334,0.00155513433205526,2.083822209519961,36.6,60
14,8,50,250000000,0.4911111111111111,0.0012885381524406262,2.192462855790722,36.87301587301587,63
