,num_repeaters,distance,ms_depolar_prob,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.1,0.7311894273127751,0.005318403441566248,5.280034002953799,39.45374449339207,227
1,1,50,0.09,0.735686274509804,0.005239576758034443,5.9073861372244165,42.10588235294118,255
2,1,50,0.08,0.7486238532110091,0.005451160201556144,5.063465282225457,39.26728110599078,218
3,1,50,0.07,0.7445871559633027,0.006191852159664874,5.080814210149367,40.522935779816514,218
4,1,50,0.06,0.7579357798165138,0.0059175236086629135,5.039258511020126,39.8110599078341,218
5,1,50,0.05,0.77052,0.004882062413435595,5.829393263428975,41.016,250
6,4,50,0.1,0.4489873417721519,0.005766301312450984,4.8898570530756515,37.62179487179487,158
7,4,50,0.09,0.46133802816901404,0.0054731444114040914,4.395446769073462,36.86524822695036,142
8,4,50,0.08,0.4667114093959732,0.006664762155614516,4.618502509919762,37.39310344827586,149
9,4,50,0.07,0.4698648648648648,0.007381131581781879,4.601762894944162,37.71232876712329,148
10,4,50,0.06,0.4921153846153847,0.007610938089054011,4.814674015320069,37.682119205298015,156
11,4,50,0.05,0.4996470588235294,0.008150835752736677,5.236484652364033,36.65030674846626,170
12,8,50,0.1,0.3198648648648649,0.0040916071158882085,2.5761856324785843,36.45945945945946,74
13,8,50,0.09,0.32783333333333337,0.004284906236477722,2.081753539804499,35.06666666666667,60
14,8,50,0.08,0.33114754098360655,0.005927387846129896,2.1229843335638177,36.0,61
15,8,50,0.07,0.3468181818181818,0.00537360318420643,2.2979416409227995,35.45454545454545,66
16,8,50,0.06,0.34578125,0.007021761315815526,2.222342365463,35.82539682539682,64
17,8,50,0.05,0.36461538461538456,0.007118339651393187,2.711256448532349,35.63513513513514,78
