,num_repeaters,distance,ms_depolar_prob,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.1,0.7262109374999999,0.00531194025611455,5.888926326638956,43.15294117647059,256
1,1,50,0.09,0.7333744855967077,0.005523802272692207,5.582626379662563,42.781893004115226,243
2,1,50,0.08,0.7333198380566801,0.006727993414316263,5.725910222752367,42.26938775510204,247
3,1,50,0.07,0.7561065573770492,0.005189548886547665,5.654012157122552,39.23868312757202,244
4,1,50,0.06,0.7588461538461538,0.00516723734430019,5.379653746058377,42.71367521367522,234
5,1,50,0.05,0.7589024390243905,0.006104256164756733,5.6571297156502585,43.02448979591837,246
6,4,50,0.1,0.4463522012578616,0.005732832417687648,4.914276321968927,37.87820512820513,159
7,4,50,0.09,0.4548993288590604,0.006457810848849979,4.587070137556911,37.51034482758621,149
8,4,50,0.08,0.4690683229813665,0.006397800051296888,4.986769612382194,37.70253164556962,161
9,4,50,0.07,0.49151079136690645,0.006374679059112931,4.305763544844059,36.5,139
10,4,50,0.06,0.4870833333333333,0.007803318467962224,4.470049481119608,37.30281690140845,144
11,4,50,0.05,0.5101851851851852,0.006812271179376479,4.995258127882398,37.09316770186335,162
12,8,50,0.1,0.3204347826086957,0.003959357700577607,2.4064042111901687,36.01470588235294,69
13,8,50,0.09,0.33090909090909104,0.004708127934847747,1.9075166854914711,36.6,55
14,8,50,0.08,0.3378787878787879,0.005341825162294417,2.3031950732440873,35.857142857142854,66
15,8,50,0.07,0.3395454545454545,0.006526403036966192,2.299852310860301,36.96875,66
16,8,50,0.06,0.35868421052631577,0.00621044391775505,2.6183298227204235,35.14666666666667,76
17,8,50,0.05,0.36075757575757567,0.008047688227089475,2.292597844375882,35.93650793650794,66
