coherence_time,num_repeaters,fidelity,sem,rate,success_fraction
60000000,1,0.7964225053078556,0.00595983068535467,5.478430820382823,0.157
60000000,4,0.5873344103392568,0.007902367044749049,4.7861436504974115,0.10316666666666667
60000000,8,0.4290774907749077,0.009699511004621481,2.3561925983661927,0.04516666666666667
100000000,1,0.8261640798226163,0.0019977566865902988,5.234797524569809,0.15033333333333335
100000000,4,0.6247678018575852,0.004102019227046574,5.00199850056746,0.10766666666666666
100000000,8,0.4703018867924529,0.004388175762449012,2.309660074236659,0.04416666666666667
150000000,1,0.8329754601226994,0.0011951406565039785,5.6490527229586665,0.163
150000000,4,0.6403685092127304,0.0023287876974716656,4.611369949618471,0.0995
150000000,8,0.48612,0.002572193473742235,2.1782603625826193,0.041666666666666664
200000000,1,0.8362798264642083,0.0006462406468896252,5.333236779660132,0.15366666666666667
200000000,4,0.6496254071661237,0.00121922528476688,4.718576108346232,0.10233333333333333
200000000,8,0.49067999999999995,0.0013982416908748711,2.17368795543407,0.041666666666666664
250000000,1,0.8382908704883226,0.0003578126182827751,5.445842311505469,0.157
250000000,4,0.6531111111111111,0.0007692602899685782,4.525700396543268,0.0975
250000000,8,0.4934538152610442,0.0009556801512445623,2.1715934500266183,0.0415
