,num_repeaters,distance,coherence_time,fidelity,sem,rate,mean_retries,num_success
0,1,50,60000000,0.7974180327868852,0.005816258640898661,5.6719039231777915,39.81818181818182,244
1,1,50,100000000,0.8280269058295965,0.0019364981587798092,5.185014347100369,39.412556053811656,223
2,1,50,150000000,0.8325531914893617,0.0012306501864248116,5.4015657122032135,42.727659574468085,235
3,1,50,200000000,0.8372444444444445,0.0005639609645680694,5.196199590841441,38.577777777777776,225
4,1,50,250000000,0.8380000000000001,0.0003974447618771797,5.305430857586514,42.29565217391304,230
5,4,50,60000000,0.5872661870503597,0.0080161874968959,4.31400055109029,38.93382352941177,139
6,4,50,100000000,0.6320547945205479,0.004110645551486361,4.5400432788954435,35.45205479452055,146
7,4,50,150000000,0.6454193548387097,0.0017026293312067558,4.787196491645914,37.270967741935486,155
8,4,50,200000000,0.649113924050633,0.0010734192292862525,4.841972608914978,39.58860759493671,158
9,4,50,250000000,0.653888888888889,0.0006117710211522557,4.461423638269137,38.548611111111114,144
10,8,50,60000000,0.4234375,0.009951943847876477,2.229796476100672,34.82258064516129,64
11,8,50,100000000,0.47000000000000003,0.003889747590179782,2.589614088874589,34.851351351351354,74
12,8,50,150000000,0.4806896551724138,0.0040292735463524345,2.012364926172363,37.36206896551724,58
13,8,50,200000000,0.49079999999999996,0.001741552274710543,1.7361217425123445,35.7,50
14,8,50,250000000,0.492923076923077,0.0010507856293128267,2.2654294741949084,37.69230769230769,65
