emission_fidelity,num_repeaters,fidelity,sem,rate,success_fraction
0.96,1,0.7989151450053705,0.0054278137246556776,5.386289061597415,0.15516666666666667
0.96,4,0.5796933560477002,0.008414929263087595,4.555514532874324,0.09783333333333333
0.96,8,0.43051851851851847,0.00968353154933655,2.352368432946885,0.045
0.97,1,0.830479233226837,0.005476755913445335,5.443161747777197,0.1565
0.97,4,0.6161231281198004,0.010979185084785672,4.633024584806787,0.10016666666666667
0.97,8,0.485361216730038,0.012398048434966497,2.291068679920301,0.043833333333333335
0.98,1,0.8635251046025106,0.0060730411531741005,5.514460247064454,0.15933333333333333
0.98,4,0.6865372168284789,0.010635475576747551,4.769862172083497,0.103
0.98,8,0.5498076923076922,0.01545341949730431,2.264950613699735,0.043333333333333335
0.99,1,0.8973728813559321,0.006134782852292193,5.465588523670786,0.15733333333333333
0.99,4,0.744079365079365,0.012768025516792713,4.8606409776848025,0.105
0.99,8,0.6360649819494585,0.0191377382758647,2.409565936421176,0.04616666666666667
1.0,1,0.9278288770053477,0.006802142158697522,5.398837730430552,0.15583333333333332
1.0,4,0.8201058201058201,0.015132126899639156,4.3850406010019,0.0945
1.0,8,0.7247440273037542,0.02566255003052017,2.544763113879226,0.04883333333333333
