,num_repeaters,distance,emission_fidelity,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.96,0.8027927927927928,0.004536860484324884,5.121273043284861,40.83783783783784,222
1,1,50,0.97,0.8262605042016806,0.006337502416148654,5.487080783569904,43.92827004219409,238
2,1,50,0.98,0.8592460317460319,0.006761088179484593,5.858646500438225,39.75298804780876,252
3,1,50,0.99,0.8942561983471073,0.006440050983185966,5.603924217403382,41.45867768595041,242
4,1,50,1.0,0.9276569037656905,0.006620523728334862,5.48401407745268,42.53556485355649,239
5,4,50,0.96,0.5844360902255641,0.008498222779311497,4.122983162767513,36.97727272727273,133
6,4,50,0.97,0.6019767441860465,0.01126831918269993,5.258725310666838,38.94011976047904,172
7,4,50,0.98,0.6907741935483871,0.009321084156642399,4.784203744483611,37.38709677419355,155
8,4,50,0.99,0.728452380952381,0.012632650115263627,5.192265777064644,37.31927710843374,168
9,4,50,1.0,0.8357480314960631,0.014351614384984652,3.913123632992048,37.648,127
10,8,50,0.96,0.42261538461538456,0.011334763311142233,2.2665416678620423,36.064516129032256,65
11,8,50,0.97,0.47278688524590157,0.015440790652697668,2.127273140046043,35.94827586206897,61
12,8,50,0.98,0.5513207547169812,0.017344879561432432,1.8422094929234578,37.0,53
13,8,50,0.99,0.6237878787878789,0.020808757262588715,2.306628516428988,33.76190476190476,66
14,8,50,1.0,0.7147272727272725,0.02823606596428619,1.9012954617784288,37.8,55
