,num_repeaters,distance,emission_fidelity,fidelity,sem,rate,mean_retries,num_success
0,1,50,0.96,0.7897872340425532,0.0063671322291058464,5.425375779995887,41.4468085106383,235
1,1,50,0.97,0.8332520325203251,0.004791516665784178,5.729807519956027,40.04471544715447,246
2,1,50,0.98,0.8606400000000001,0.006428951372612216,5.748546575567973,41.1285140562249,250
3,1,50,0.99,0.8977637130801687,0.006611254673176706,5.509012343221099,41.70464135021097,237
4,1,50,1.0,0.9330165289256199,0.0061467706283534216,5.603442785348454,41.86776859504132,242
5,4,50,0.96,0.5732051282051283,0.008179909743731721,4.7985034575062935,36.44516129032258,156
6,4,50,0.97,0.6246527777777777,0.011516669378893667,4.435949361820526,37.1231884057971,144
7,4,50,0.98,0.6842763157894737,0.01091144332898368,4.713535500178679,36.70469798657718,152
8,4,50,0.99,0.7528846153846154,0.012950261405166624,4.839113174503453,37.285714285714285,156
9,4,50,1.0,0.8050675675675676,0.016000217777461564,4.593663891110793,35.736111111111114,148
10,8,50,0.96,0.43258064516129024,0.009937141324869276,2.1700536886350785,34.57377049180328,62
11,8,50,0.97,0.4760493827160494,0.011830188083199057,2.8068403724042046,35.51282051282051,81
12,8,50,0.98,0.5618840579710145,0.012271218852783088,2.4085793643499223,36.61764705882353,69
13,8,50,0.99,0.6347560975609756,0.017761389976818687,2.8401539343032294,36.1125,82
14,8,50,1.0,0.7380000000000001,0.02661260046807666,2.443530018840288,36.149253731343286,70
