,num_repeaters,distance,fidelity,sem,rate,mean_retries,num_success
0,1,20,0.8250756302521007,0.001434561823856005,19.73294918974516,36.95966386554622,595
1,1,50,0.799704641350211,0.004635686964676324,5.47971712474782,41.49367088607595,237
2,1,80,0.7432812499999999,0.018788543981708584,1.178905700309316,45.28125,64
3,2,20,0.7346938775510204,0.0028806283031221585,17.301975899183073,35.94897959183673,490
4,2,50,0.6854189944134077,0.009650059269892134,4.884114836917682,41.03409090909091,179
5,2,80,0.6491666666666667,0.018911816055567087,1.9045377796772582,42.30864197530864,84
6,3,20,0.678960396039604,0.0022899977113690017,14.102418623263084,36.618811881188115,404
7,3,50,0.6584444444444444,0.006016311968366347,5.150973190982022,38.25698324022346,180
8,3,80,0.6220967741935484,0.016151029025522422,1.5267726729558868,38.68852459016394,62
9,4,20,0.609639344262295,0.0036864159701969195,11.02944081404071,34.97049180327869,305
10,4,50,0.5835570469798657,0.007152678426847672,4.575342748636384,37.630872483221474,149
11,4,80,0.5389473684210526,0.016944820718496387,1.5611444404798036,41.92982456140351,57
12,5,20,0.5679389312977099,0.004121983925159637,9.531585712039536,34.367816091954026,262
13,5,50,0.5440350877192983,0.008799329230831767,3.625135972576219,36.67256637168141,114
14,5,80,0.49489795918367346,0.01825184300716531,1.3880612455681642,38.04347826086956,49
15,6,20,0.5143388429752066,0.00440274446447886,9.045042971121916,33.975,242
16,6,50,0.49394230769230774,0.00919532402472816,3.431931038533107,36.96078431372549,104
17,6,80,0.48186046511627906,0.016559500418315557,1.2975712914120698,37.19047619047619,43
18,7,20,0.4946706586826348,0.003995134276159327,6.2453563893691095,35.92814371257485,167
19,7,50,0.4785333333333334,0.007037576225176492,2.516420413854152,36.093333333333334,75
20,7,80,0.44175000000000003,0.01593778676941444,1.2232612577861262,38.48717948717949,40
21,8,20,0.44691176470588234,0.005649371417365295,5.162162121752958,34.762962962962966,136
22,8,50,0.434,0.009199305372448884,2.288556660792077,36.20634920634921,65
23,8,80,0.40125,0.019233511484530248,1.0309949331288857,34.53333333333333,32
