,num_repeaters,distance,fidelity,sem,rate,mean_retries,num_success
0,1,20,0.8274918032786885,0.0011081532551978125,20.282175096034234,36.657377049180326,610
1,1,50,0.7969327731092438,0.004933706233244509,5.51592267260452,40.61764705882353,238
2,1,80,0.7515151515151516,0.01678949506942077,1.2182613162770868,45.43076923076923,66
3,2,20,0.727399193548387,0.00343092369923848,17.50034328840353,35.13508064516129,496
4,2,50,0.6978787878787877,0.008715147446093753,5.436418704813909,37.646153846153844,198
5,2,80,0.6855128205128205,0.01535734193138247,1.7701848581352353,40.88157894736842,78
6,3,20,0.6828065395095367,0.0024906471080499044,12.900425290464762,34.87193460490463,367
7,3,50,0.645948717948718,0.006690232261541744,5.6338880068222705,38.184615384615384,195
8,3,80,0.5831168831168831,0.018983335658465442,1.8994978406101495,40.958333333333336,77
9,4,20,0.6107547169811322,0.004155372289617824,11.546394866952117,35.186119873817034,318
10,4,50,0.5717361111111111,0.008799593492949799,4.44736996284006,38.02797202797203,144
11,4,80,0.5401428571428571,0.015691658694350248,1.8977289471033818,38.60294117647059,70
12,5,20,0.5684132841328413,0.003132327038211269,9.792525945510548,35.06273062730627,271
13,5,50,0.5553781512605043,0.006854846989595616,3.7425836547544105,38.49579831932773,119
14,5,80,0.525,0.01481242900691363,1.2528737792313056,37.20454545454545,44
15,6,20,0.516280193236715,0.004844463807561732,7.7280626900445935,35.470873786407765,207
16,6,50,0.4943697478991597,0.0086241354158654,3.940808307021621,35.508620689655174,119
17,6,80,0.4696363636363637,0.01469146774100632,1.6523096338129832,38.72222222222222,55
18,7,20,0.4904516129032257,0.004286516702888316,5.788110070827472,34.00645161290323,155
19,7,50,0.4694936708860759,0.007883910049667505,2.6793082620009123,36.56962025316456,79
20,7,80,0.45000000000000007,0.01270085414792143,1.3799490444615676,39.666666666666664,45
21,8,20,0.453758865248227,0.005115645291645479,5.383831140857404,35.0354609929078,141
22,8,50,0.4292727272727273,0.0097323024452719,1.9135808302466197,37.96296296296296,55
23,8,80,0.4066666666666667,0.02124522078330864,0.8671303946796401,35.12,27
