distance,num_repeaters,fidelity,sem,rate,success_fraction
10,1,0.8399977777777777,1.7599346537312008e-05,122.118509332822,1.0
10,2,0.7699949999999999,2.1019484774858646e-05,121.67708880169188,1.0
10,3,0.7099966666666667,1.889060832835119e-05,121.19750076665561,1.0
10,4,0.6598366666666667,2.1108722604921993e-05,120.7829655539461,1.0
10,5,0.6099772222222223,1.9279721493521174e-05,120.44796862100576,1.0
10,6,0.5698372222222222,2.138762308895203e-05,120.06343522661966,1.0
10,7,0.5299927777777779,1.7850946888112115e-05,119.73416725472146,1.0
10,8,0.49986055555555553,1.9801726550507273e-05,119.50339416095221,1.0
50,1,0.8382966666666667,0.00019551669375265834,87.04786995049376,1.0
50,2,0.7681888888888887,0.00019848084221697502,93.79714244967867,1.0
50,3,0.7091872222222223,9.396424514739058e-05,97.12020241899047,1.0
50,4,0.656978888888889,0.00010816526540511799,98.42229537506894,1.0
50,5,0.6091744444444445,7.000690093411977e-05,99.51563417909183,1.0
50,6,0.5677088888888889,8.129672320634923e-05,99.91314888973335,1.0
50,7,0.5294755555555557,5.9677140482065716e-05,100.51030764391373,1.0
50,8,0.49820444444444445,6.719092115556212e-05,100.53829267837794,1.0
100,1,0.8026467889908256,0.0023571102199686734,39.6314862581383,0.9688888888888889
100,2,0.7455186791194129,0.001456088477724128,60.32017248297178,0.9993333333333333
100,3,0.70083,0.0005782835114717501,70.20045643032014,1.0
100,4,0.6481872222222222,0.000488629016853375,75.03191629417945,1.0
100,5,0.6044061111111112,0.00026969937318075006,78.32084859240258,1.0
100,6,0.5622711111111113,0.0002804447990730417,79.96673800552408,1.0
100,7,0.5265472222222224,0.00018718854322458334,81.43555882170914,1.0
100,8,0.4939211111111111,0.0002078969331829,82.15486900237231,1.0
