distance,num_repeaters,fidelity,sem,rate,success_fraction
10,1,0.8344463302164724,0.0004888304117369601,61.014816200423105,0.8674444444444445
10,2,0.7546876545244766,0.0010482961830076657,57.60819837044164,0.8426388888888889
10,3,0.6951404226312201,0.000900906012688517,53.27516803090648,0.815
10,4,0.6330143658023827,0.0012766577852062126,50.83720520142086,0.7927777777777778
10,5,0.588731164009609,0.0010752988998568506,47.58418160793483,0.7631666666666667
10,6,0.5393303000676845,0.0013655723105606102,45.413155399649405,0.7387222222222222
10,7,0.506841798695247,0.0011293824257010239,43.16637670381633,0.7153333333333334
10,8,0.46959660211763754,0.001330932743680081,41.33106590414854,0.6899722222222222
50,1,0.8003939393939393,0.003274161002893809,15.248991527364916,0.4216666666666667
50,2,0.7080455989110707,0.0039762323348118975,20.542590751417798,0.48977777777777776
50,3,0.6607056170121361,0.0029165432952566735,22.593002803259907,0.5172777777777777
50,4,0.5938771725307335,0.003300784746680219,24.029430599053047,0.5242222222222223
50,5,0.5603903081380037,0.0025835867267759148,24.535030984122674,0.5273611111111111
50,6,0.5108785255218569,0.002797951745586143,24.972696801510466,0.5229722222222222
50,7,0.48513906552391495,0.0022877225376289,24.04635745983387,0.5023611111111111
50,8,0.44686879946494257,0.0024438816435694874,24.294600119762716,0.4983888888888889
100,1,0.7386525307797537,0.01461026442180992,1.9412670618449166,0.08122222222222222
100,2,0.6261116300794022,0.014041747676883471,3.5566128221257642,0.11894444444444445
100,3,0.6032650252332161,0.008585645692437971,5.860314314031021,0.18163888888888888
100,4,0.5359843546284224,0.007999683143474875,7.564962690229379,0.21305555555555555
100,5,0.5166041253933108,0.006081135815655335,8.753346297572644,0.2383611111111111
100,6,0.46599729394520234,0.005977395277217722,9.554489386412415,0.24636111111111111
100,7,0.45139498102066644,0.004736092478942301,10.402415064263009,0.2634444444444444
100,8,0.4150705088902514,0.004561064798438711,11.129704182800708,0.2718333333333333
