distance,num_repeaters,fidelity,sem,rate,success_fraction
20,1,0.8245387317433907,0.0014687670568704224,19.883693941713055,0.4808
20,2,0.7320088676671214,0.0033029810560605906,17.141430748923987,0.39093333333333335
20,3,0.6782423038728896,0.002830951373838351,13.70459224201204,0.3132888888888889
20,4,0.6099352807416478,0.0040318236561271495,11.513215917824356,0.25408888888888886
20,5,0.5714279466433413,0.0036140311396948687,9.21223376793447,0.20324444444444445
20,6,0.5178862004785961,0.004713244654807678,7.793543171485535,0.16715555555555556
20,7,0.49165199729180775,0.004335635825629418,6.131773434234319,0.1312888888888889
20,8,0.4494711951848667,0.005416029492690073,4.944748850684603,0.10337777777777778
50,1,0.7955749045801527,0.005361421651055081,5.387093739581,0.18631111111111112
50,2,0.6944836670179134,0.008332574687339549,5.75787880581545,0.16871111111111112
50,3,0.6453018292682927,0.007290908554722352,5.231470857274924,0.14577777777777778
50,4,0.5807066617592933,0.008383602126698907,4.657819980257474,0.12075555555555556
50,5,0.5451129552789304,0.007940430649733344,3.80942570620854,0.0964
50,6,0.49633423180592995,0.00888009810804258,3.4236735469703166,0.08244444444444445
50,7,0.47309357541899444,0.007996602850903946,2.68003912433632,0.06364444444444445
50,8,0.43358932902182695,0.00922848278028572,2.3933326878941092,0.05497777777777778
80,1,0.7523172757475084,0.01705774823832235,1.2346086937805856,0.05351111111111111
80,2,0.6489385065885799,0.018883809603161935,1.7267723628828233,0.06071111111111111
80,3,0.616669236700077,0.015644016797201406,1.7874508310093011,0.05764444444444444
80,4,0.5391347011596789,0.01733029275500124,1.700862224998455,0.04982222222222222
80,5,0.5162860192102454,0.015362910940140601,1.477572755519314,0.04164444444444444
80,6,0.46233021077283376,0.017010639314190338,1.4244479903677643,0.037955555555555555
80,7,0.4496515151515152,0.014929934715286298,1.1282324326765725,0.029333333333333333
80,8,0.41392120075046906,0.016451171887733356,0.9505665334676441,0.023688888888888888
