,num_repeaters,distance,fidelity,sem,rate,mean_retries,num_success
0,1,20,0.8264776632302404,0.0012763855942655026,19.398061163786647,36.6426116838488,582
1,1,50,0.7881932773109243,0.006443422328210609,5.487936925203999,41.130801687763714,238
2,1,80,0.7701515151515153,0.01283821488553838,1.2232716080364971,43.84848484848485,66
3,2,20,0.7308997955010225,0.003540026636057723,17.152447982000304,35.622950819672134,489
4,2,50,0.6971291866028707,0.00830879005955173,5.711387130012054,40.16019417475728,209
5,2,80,0.6416666666666666,0.021674606032642128,1.5060655649669707,42.65625,66
6,3,20,0.678768115942029,0.002499985374557758,14.490466312262454,35.128019323671495,414
7,3,50,0.6459550561797752,0.007764695561991128,5.12711407471107,38.19886363636363,178
8,3,80,0.6089772727272728,0.014167112467571113,2.192847206518238,37.30232558139535,88
9,4,20,0.6075601374570447,0.004672909046941126,10.561580273726392,35.5448275862069,291
10,4,50,0.5711538461538462,0.009064939955384167,4.821115149275784,36.55555555555556,156
11,4,80,0.554567901234568,0.013924670025780564,2.207483319397574,39.75,81
12,5,20,0.5718650793650794,0.0038556607177029677,9.125998863812624,35.15873015873016,252
13,5,50,0.5515000000000001,0.0066908328290133014,3.7880665122022923,36.11666666666667,120
14,5,80,0.5268627450980392,0.015038457355405689,1.440485426641991,40.76470588235294,51
15,6,20,0.5175471698113208,0.004827109802404426,7.9442093806652805,34.04761904761905,212
16,6,50,0.497864077669903,0.008653543934146399,3.4274583840420227,34.529411764705884,103
17,6,80,0.4750000000000001,0.017676155027048262,1.2612630306009178,37.58974358974359,42
18,7,20,0.49036809815950927,0.004542174498537641,6.112306110964851,33.88343558282209,163
19,7,50,0.483375,0.00717464103099933,2.7001102718706655,37.675,80
20,7,80,0.43714285714285717,0.019811760524374805,0.8616693225956612,37.5,28
21,8,20,0.45274193548387104,0.005464536712365746,4.764146376526888,34.16935483870968,124
22,8,50,0.43083333333333335,0.012661008927755393,1.6684234660473103,36.56521739130435,48
23,8,80,0.3912,0.019368904147491234,0.800356812584242,40.208333333333336,25
