,num_repeaters,distance,fidelity,sem,rate,mean_retries,num_success
0,1,20,0.8217384105960266,0.0017722051974714743,19.97608294016721,37.71026490066225,604
1,1,50,0.7960714285714285,0.005406857454332841,5.215596185631945,41.098214285714285,224
2,1,80,0.7603030303030303,0.013897040363091721,1.2226348614879783,43.65151515151515,66
3,2,20,0.7382077393075355,0.002799455700746686,17.228240039839616,35.5193482688391,491
4,2,50,0.6983333333333333,0.007840846219205659,5.246967065156616,38.61256544502618,192
5,2,80,0.643012048192771,0.017969278481221956,1.8868388767585715,40.6875,83
6,3,20,0.673828125,0.0032282983107055074,13.35895283621703,36.240208877284594,384
7,3,50,0.6331351351351351,0.008834729192062815,5.294694522545857,38.5792349726776,185
8,3,80,0.604090909090909,0.01464633230536286,2.192295970518896,38.04651162790697,88
9,4,20,0.6101863354037268,0.003894119243543285,11.640002625868904,35.63664596273292,322
10,4,50,0.5548412698412699,0.012024975808837778,3.9039372717837826,37.52892561983471,126
11,4,80,0.540483870967742,0.015848582752843735,1.6881376906091259,42.16393442622951,62
12,5,20,0.5713358778625954,0.0034034059644272134,9.44992699345203,34.69465648854962,262
13,5,50,0.5271653543307087,0.009036484407002813,4.030315925318364,36.05691056910569,127
14,5,80,0.5055813953488374,0.01800096964457547,1.2172083021874007,39.57142857142857,43
15,6,20,0.5248469387755103,0.0047666108024906634,7.324619044000316,35.81025641025641,196
16,6,50,0.4923529411764706,0.009981651849053487,2.8408969339486987,36.595238095238095,85
17,6,80,0.475,0.015370545893092969,1.617810633048604,41.64150943396226,54
18,7,20,0.4834161490683231,0.005809129803023829,5.976804786286525,34.73717948717949,161
19,7,50,0.45934210526315794,0.009324307267806793,2.5507247459069866,37.04,76
20,7,80,0.44567567567567573,0.013462178157755574,1.1387591575472074,37.08108108108108,37
21,8,20,0.45277310924369757,0.005171411442199305,4.5713576053240645,34.110169491525426,119
22,8,50,0.4512903225806451,0.0074574843318436015,2.1641031318586768,37.064516129032256,62
23,8,80,0.416764705882353,0.0154402958122639,1.0865138460798536,35.0625,34
