distance,num_repeaters,fidelity,sem,rate,success_fraction
10,1,0.8306379271582733,0.0008766247881631163,30.196586562609276,0.5157101449275362
10,2,0.745372471632955,0.002029186900409233,24.201675022129706,0.4112753623188406
10,3,0.6861169083834453,0.0019530377749623646,18.725912561840918,0.327768115942029
10,4,0.6208492451154531,0.0028997229958018155,15.19362437189829,0.26110144927536233
10,5,0.5780699536451749,0.0027828917343170004,11.846531444735756,0.2063478260869565
10,6,0.5269394955018523,0.003715231549800654,9.641873247365151,0.16431884057971013
10,7,0.4962591006423983,0.003413197431340371,7.898204993993607,0.1353623188405797
10,8,0.4567911062311282,0.004364753777062184,6.291245317595761,0.10559420289855072
50,1,0.7938798856053384,0.00580113677750556,5.274214045541225,0.1520289855072464
50,2,0.6937390579408087,0.008451499837053693,5.6877008207540545,0.13907246376811594
50,3,0.6483968926553672,0.006825146983054336,5.290378529339493,0.1231304347826087
50,4,0.5815216154721274,0.008372643723152051,4.725358138237771,0.10191304347826087
50,5,0.5478537252221463,0.007536242911195154,4.023900929487709,0.08481159420289855
50,6,0.493887698242606,0.00908254092599442,3.370437663348341,0.0676231884057971
50,7,0.4707504168982769,0.008679750206753534,2.636258530466658,0.052144927536231886
50,8,0.4323849104859334,0.009474870843590737,2.364636937170052,0.04533333333333334
100,1,0.7220254777070062,0.03083017852416194,0.5591240137974512,0.0227536231884058
100,2,0.6144222539229671,0.034897776133823416,0.6286537018876123,0.020318840579710146
100,3,0.5873587223587223,0.025991352558488834,0.8116902940794184,0.023594202898550725
100,4,0.5173913043478261,0.02537827286833515,0.8626639721241091,0.02266666666666667
100,5,0.5142450142450142,0.02017713615711544,0.8146570578485997,0.02034782608695652
100,6,0.4539057239057239,0.022919127911071365,0.7312365968845118,0.017217391304347827
100,7,0.4364859813084112,0.02184535028960675,0.6785716285593729,0.015507246376811595
100,8,0.39825000000000005,0.022502299036203852,0.5811352295750545,0.012753623188405797
