distance,retries,num_repeaters,fidelity,sem,rate,success_fraction
20,30.0,1,0.8383041688111168,0.00048580074919144135,7.205220815096456,0.08635555555555556
20,60.0,1,0.8326393472680602,0.0009479725745107768,14.812065644663258,0.2424
20,90.0,1,0.8243202450570871,0.0014871948707341034,19.797291736832527,0.399
20,120.0,1,0.8156966727903653,0.001961899432929537,23.52044887645104,0.5443333333333333
40,30.0,1,0.8355705090696315,0.0015390900741202723,2.7567558047472858,0.03797777777777778
40,60.0,1,0.8228809218950063,0.002747839998179471,6.058636905052088,0.12148888888888888
40,90.0,1,0.8046495832046927,0.004057654499828758,8.276568880968865,0.21593333333333334
40,120.0,1,0.7867938187386887,0.004716028981556626,10.106177122457344,0.31924444444444444
80,30.0,1,0.8252608695652173,0.008879595992140514,0.299042301528686,0.005111111111111111
80,60.0,1,0.7961337513061649,0.013349208064539573,0.8021735212970182,0.021266666666666666
80,90.0,1,0.7589543147208122,0.01640237512885677,1.210482380749819,0.04377777777777778
80,120.0,1,0.7188145985401458,0.017230242358089325,1.663559189693707,0.07611111111111112
120,30.0,1,0.818301886792453,0.016127735730329565,0.3340211831716256,0.0011777777777777778
120,60.0,1,0.7562500000000001,0.04560886218993571,0.12003975972321498,0.003911111111111111
120,90.0,1,0.712470238095238,0.050477574697334084,0.16570951158667305,0.007466666666666667
120,120.0,1,0.6640062111801244,0.04669301295142089,0.2483669885699669,0.014311111111111111
