distance,rate,sem,num_repeaters,fidelity,success_ratio,success_cnt,total_cnt,avg_retries
10,31.569679507454914,0.0052769315043435135,1,0.8328212275266326,0.5235602094240838,5000,9550,35.7234
10,25.103666847429807,0.006153746105275465,2,0.7462865086825408,0.414524954402255,5000,12062,34.803466666666665
10,19.48707295784732,0.0065555779168910144,3,0.6874086200735023,0.3313672211544834,5000,15089,34.32625
10,15.574905749236605,0.006865774801612224,4,0.6196063621540806,0.2612876254180602,5000,19136,34.58212
10,12.222664533290207,0.0069858917654309054,5,0.5773730005132498,0.20718518211577508,5000,24133,33.91146666666666
10,10.141023242283604,0.007062784115776092,6,0.5241950959846137,0.16850903208411971,5000,29672,34.2914
10,8.010173769766022,0.007070627460621772,7,0.49441998516968155,0.13406982356411218,5000,37294,34.135875
10,6.460772806286805,0.0070421640888474425,8,0.45483779535122976,0.10583354500042333,5000,47244,33.83806666666667
50,5.679265997123611,0.005712986833229082,1,0.7946335133971622,0.15755971513203504,5000,31734,41.499
50,6.012447136410315,0.006539398456527796,2,0.6902139299152652,0.140331181588549,5000,35630,39.49073333333334
50,5.600750108462027,0.0067626070533578116,3,0.6460675501587395,0.12451749470800648,5000,40155,38.331
50,4.97329024846001,0.006991891473639985,4,0.5746141280469216,0.10230179028132992,5000,48875,37.759
50,4.027540947928267,0.007044706626758877,5,0.5431340087923421,0.08102020643948601,5000,61713,37.0957
50,3.595998284749915,0.007069958657084614,6,0.4911443274918478,0.06878430617270363,5000,72691,36.51651428571429
50,2.912252783238711,0.007056723858126664,7,0.46816853835071914,0.05503940821628286,5000,90844,36.4219
50,2.445308297117874,0.007000533196805264,8,0.42955374529375323,0.04454144581533116,5000,112255,35.859177777777774
100,0.5360192356720543,0.0062785970182331055,1,0.7299915159591148,0.020962778490512247,5000,238518,43.7919
100,0.7961644744596328,0.006886169090285364,2,0.6135930292755334,0.02436492814782689,5000,205213,42.03926666666666
100,0.8699103766483319,0.006965247910204714,3,0.5861777682870958,0.023943608014404476,5000,208824,40.90915
100,0.8943364456074696,0.00706815472919643,4,0.5143507358936996,0.022043328366236674,5000,226826,40.36656
100,0.8537329137274005,0.007070920559408705,5,0.4967732039642321,0.02003582405340749,5000,249553,39.534166666666664
100,0.7999455733487917,0.007032604452414378,6,0.4479195518509361,0.01754792337874736,5000,284934,38.816
100,0.6868157585985687,0.007010447526171474,7,0.4346690929652645,0.014631691072327375,5000,341724,38.281525
100,0.6082299876988405,0.006924393041157654,8,0.3986890674318053,0.012376115087969425,5000,404004,37.85951111111111
