init_photon_loss,num_repeaters,fidelity,sem,rate
0.1,1,0.8287321853,0.005327948017,63.79417244
0.1,4,0.6467953077,0.006759454677,86.4857385
0.1,8,0.491125521,0.007069953941,90.86045212
0.2,1,0.8237159422,0.005389025677,54.95629985
0.2,4,0.6401069066,0.006787783949,77.95944581
0.2,8,0.486543677,0.007068506594,83.11634119
0.3,1,0.8179902812,0.005456778923,44.40045839
0.3,4,0.630745529,0.006825036361,68.42570918
0.3,8,0.4789891434,0.007064821921,73.39642751
0.4,1,0.8126004321,0.005518713072,34.16375981
0.4,4,0.6172409297,0.006873929944,55.33840764
0.4,8,0.4671189965,0.007055761328,59.81178348
0.5,1,0.8049882869,0.005603251643,22.64334158
0.5,4,0.6018504351,0.006922809962,38.78676248
0.5,8,0.4535701444,0.007040515159,41.38990273
0.6,1,0.7990827782,0.005666559658,12.73050246
0.6,4,0.5862928984,0.006964962824,19.18918258
0.6,8,0.4391256273,0.007018465797,17.77427025
0.7,1,0.7946090042,0.005713239618,5.736842323
0.7,4,0.5745635416,0.006991999403,4.925522213
0.7,8,0.4297331703,0.007000893838,2.446162011
