num_repeaters,distance,retries,fidelity,sem,rate,mean_retries,num_success
1,20,30,0.8414044875618638,0.0051661005772753,23.12605313155204,13.0689,5000
1,20,60,0.8363446871581767,0.0052320598509663,38.46632012102428,22.9988,5000
1,20,90,0.8309342021653818,0.0053006141877552,46.946822770486,30.0628,5000
1,20,120,0.8262227393677649,0.0053587073874096,49.84869425831772,34.8259,5000
1,40,30,0.8380243972535508,0.0052103648022259,10.18308826102139,13.8363,5000
1,40,60,0.8265886512363738,0.005354247900193,18.82545997375881,25.5911,5000
1,40,90,0.8128939996848014,0.0055153847546884,23.85118615287905,35.0834,5000
1,40,120,0.800498232201358,0.0056515628359571,26.495321774025,42.5753,5000
1,80,30,0.8275613036074028,0.005342351399506,1.6060156463825923,14.414,5000
1,80,60,0.7971072343470254,0.0056873067668038,3.328401219648692,28.1805,5000
1,80,90,0.7612589291996105,0.0060289928166066,4.777796440912408,41.2232,5000
1,80,120,0.7266891631654544,0.0063025712737476,5.7196489801088,53.0443,5000
1,120,30,0.8126646036904925,0.0055179859658949,0.2430951409319624,14.7385,5000
1,120,60,0.7625604985524483,0.0060176737133196,0.5474334053393659,29.2161,5000
1,120,90,0.7068174766030226,0.0064378029073832,0.7971791058425255,43.2561,5000
1,120,120,0.6585802360372888,0.0067060019197485,1.041696268202288,57.678,5000
