photon_loss,num_repeaters,fidelity,sem,rate
0.1,1,0.798991438,0.005667523622,12.78195948
0.1,4,0.5782551599,0.006983926259,8.975334685
0.1,8,0.4309718654,0.007003358004,4.339111637
0.2,1,0.7951079395,0.005708087316,5.575456342
0.2,4,0.5750834731,0.006990886526,4.920654689
0.2,8,0.4295526341,0.00700053096,2.394828203
0.3,1,0.7921099381,0.005738846297,2.220597155
0.3,4,0.5708673161,0.006999683186,2.416879911
0.3,8,0.427784091,0.006996925932,1.339260032
