num_repeaters,distance,retries,fidelity,sem,rate,mean_retries,num_success
1,20,30,0.8410409875024152,0.005170900208733,7.137210589679194,14.1707,5000
1,20,60,0.8342459825837849,0.0052588900564016,15.040576316380568,26.7635,5000
1,20,90,0.8256628569472227,0.0053655140220667,20.354589984467005,37.8135,5000
1,20,120,0.8163574246528813,0.0054757278943898,24.378823909950864,46.4561,5000
1,40,30,0.8375012511989063,0.0052171430005161,2.8022635833338043,14.4231,5000
1,40,60,0.8241971683972221,0.0053832368701966,6.18286658914671,28.1404,5000
1,40,90,0.8071672440736913,0.0055793957409055,8.74604245951728,40.1732,5000
1,40,120,0.7873755601645179,0.0057864546558342,10.54466216969162,51.7933,5000
1,80,30,0.8271874176219314,0.0053469317136071,0.4202418023591305,14.8383,5000
1,80,60,0.7954159468130607,0.005704899970526,0.9694853027346604,28.9631,5000
1,80,90,0.7574881695374476,0.0060613503866424,1.3945237409690223,42.9898,5000
1,80,120,0.7162075360191054,0.0063758027160279,1.7522110099407835,56.9481,5000
1,120,30,0.8128015706635661,0.0055164332206672,0.0576820825004699,14.8564,5000
1,120,60,0.7600594063026586,0.0060393560119189,0.134801327264221,29.723,5000
1,120,90,0.7039644444667943,0.0064559818059432,0.2050326704182861,43.866,5000
1,120,120,0.6536405956001964,0.006728960802139,0.2795190325845388,58.266,5000
